timestamp,company,phone_number,source_url,status,notes
2026-06-17T13:37:40.600103+00:00,DUNMOW DOUBLE GLAZING LTD,01245 956370,https://www.dunmowdoubleglazingltd.co.uk/contact/,verified,"Confirmed on official Contact page; name and address match (Warners Farm, Howe Street, Chelmsford, Essex)"
2026-06-17T13:39:01.417470+00:00,PERFORMANCE.IO LIMITED,not_found,https://www.performance-io.com/contact-us/,not_found,"No phone listed on homepage, contact, about, legal pages, or LinkedIn. Trading address is a shared WeWork space (Aviation House) - building phone numbers belong to other tenants, not this company. Contact is via form/email only."
2026-06-17T13:39:40.011667+00:00,HJA BUSINESS SOLUTIONS LIMITED,+44 2380 731723,https://www.hjasolutions.co.uk/contact-us,verified,"Confirmed on official Contact Us page; company registration number 11814754 matches GOV.UK record. Note: distinct from similarly-named 'HJA Enterprises Ltd' (company no. 13854399, different entity)."
2026-06-17T13:40:54.881610+00:00,DESTINY COURIERS SAMEDAY LIMITED,0333 344 4695,https://destinycouriers.co.uk/,verified,"Listed as 'National' number, shown first in header/footer. Identity confirmed via Companies House no. 10790523 (reg. office 13 Hastings Road, London N11 2RJ). Alternate 'London' line also listed: 0203 137 1099. Note: a different, unrelated entity 'Same Day Courier Services Ltd' (no. 10731827) appeared in search results - not this company."
2026-06-17T13:41:31.367046+00:00,SUNDRIDGE SEARCH LIMITED,0113 426 5390,https://www.sundridgesearch.com/,verified,"Confirmed on official site footer/contact area; company name matches header text; area code (0113, Leeds) consistent with Companies House record (no. 11719929, Leeds)."
2026-06-17T13:42:11.760321+00:00,GLENTWORTH PRECISION ENGINEERING (UK) LIMITED,+44 (0)118 977 1955,https://www.glentworth.co.uk/,verified,"Confirmed in header/footer of official homepage; name and address (Glentworth House, Molly Millar's Bridge, Wokingham, RG41 2WY) match company records."
2026-06-18T08:06:53.150762+00:00,FENSTAR IT LIMITED,01354 638701,https://www.fenstar.co.uk/contact-us/,verified,"Confirmed via company number 10993688 in page footer, matching Companies House record; distinct from similarly-named Fenstar Limited and Fenstar Business Limited."
2026-06-18T08:08:59.939085+00:00,C.P. PROPERTY LIMITED,not_found,n/a,not_found,"No phone on Companies House record (co. no. 03245762, Aberdare, Wales). No official company website found. Similarly-named 'CP Property' (0131 510 9120) is a separate, unrelated Edinburgh company - not used. Directory listings that might have a number (city-advisor.uk, companieslist.co.uk) blocked automated access (403)."
2026-06-18T08:10:10.887213+00:00,KOREA FOODS COMPANY LIMITED,020 8949 2238,https://www.koreafoods.co.uk/contact/,verified,"Listed as the main number (per search-indexed contact page content; direct fetch of koreafoods.co.uk blocked, 403). HR department has a separate number (020 8329 2900), not used. Address matches Companies House record (Unit 5 Wyvern Industrial Estate, New Malden, KT3 4PH, co. no. 03896933)."
2026-06-18T08:10:57.138057+00:00,INCLINE IT LIMITED,0845 330 3225,https://www.incline-it.com/contact,verified,"Confirmed in header/footer/contact section of official site; address matches Companies House record (Century House, Gadbrook Business Centre, Northwich, CW9 7TL, co. no. 11864190)."
2026-06-18T08:12:13.799539+00:00,IMMERSIFY EDUCATION LTD,0161 222 9366,third-party data aggregators (Lusha/ContactOut/RocketReach),unverified,"Official site (immersify.com) and LinkedIn list no phone number - contact is via email/form only. This number (Manchester area code, consistent with registered office at Chester Road, Salford M16 9EA) appears across multiple data-broker sites but is not confirmed by the company's own channels."
2026-06-18T08:13:05.500815+00:00,MEPACK LIMITED,+44 20 3813 0016,https://mepackltd.co.uk/contacts.html,verified,Confirmed in header and contact section of official site; company name 'Mepack Ltd' matches.
2026-06-18T08:13:57.228641+00:00,GEMINI AGRICULTURE LTD,+44 (0)20 3011 5515,https://geminiag.com/contact/,verified,"Company registration number 09340604 matches exactly between official site and Companies House; distinct from similarly-named Gemini Group Limited, Gemini Group (UK) Limited, and Gemini Foods."
2026-06-22T08:07:54.993694+00:00,BREW YORK LIMITED,01904 848448,https://brewyork.co.uk/contact-us/,verified,Found on official contact page and footer. Confirmed company reg 09607690.
2026-06-22T08:07:55.028105+00:00,C & W SEALS LIMITED,+44 (0)1903 235784,https://candwseals.co.uk/,verified,Found prominently in site header and footer on official website.
